id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
1244116f-fdb5-5645-afcc-5281288409da	20120131	1	900000000000207008	900000000000534007	900000000000012004	20120131	20120131
1244116f-fdb5-5645-afcc-5281288409da	20120731	1	900000000000207008	900000000000534007	900000000000012004	20120731	20120731
1244116f-fdb5-5645-afcc-5281288409da	20130131	1	900000000000207008	900000000000534007	900000000000012004	20130131	20130131
1244116f-fdb5-5645-afcc-5281288409da	20130731	1	900000000000207008	900000000000534007	900000000000012004	20130731	20130731
1244116f-fdb5-5645-afcc-5281288409da	20140131	1	900000000000207008	900000000000534007	900000000000012004	20140131	20140131
1244116f-fdb5-5645-afcc-5281288409da	20140731	1	900000000000207008	900000000000534007	900000000000012004	20140731	20140731
1244116f-fdb5-5645-afcc-5281288409da	20150131	1	900000000000207008	900000000000534007	900000000000012004	20150131	20150131
1244116f-fdb5-5645-afcc-5281288409da	20150731	1	900000000000207008	900000000000534007	900000000000012004	20150731	20150731
1244116f-fdb5-5645-afcc-5281288409da	20160131	1	900000000000207008	900000000000534007	900000000000012004	20160131	20160131
1244116f-fdb5-5645-afcc-5281288409da	20160731	1	900000000000207008	900000000000534007	900000000000012004	20160731	20160731
1244116f-fdb5-5645-afcc-5281288409da	20170131	1	900000000000207008	900000000000534007	900000000000012004	20170131	20170131
1244116f-fdb5-5645-afcc-5281288409da	20170731	1	900000000000207008	900000000000534007	900000000000012004	20170731	20170731
1244116f-fdb5-5645-afcc-5281288409da	20180131	1	900000000000207008	900000000000534007	900000000000012004	20180131	20180131
1244116f-fdb5-5645-afcc-5281288409da	20180731	1	900000000000207008	900000000000534007	900000000000012004	20180731	20180731
1244116f-fdb5-5645-afcc-5281288409da	20190131	1	900000000000207008	900000000000534007	900000000000012004	20190131	20190131
1244116f-fdb5-5645-afcc-5281288409da	20190731	1	900000000000207008	900000000000534007	900000000000012004	20190731	20190731
1244116f-fdb5-5645-afcc-5281288409da	20200131	1	900000000000207008	900000000000534007	900000000000012004	20200131	20200131
